,race_id,venue,race_no,config,surface,distance,going,horse_ratings,prize,race_class,sec_time1,sec_time2,sec_time3,sec_time4,time1,time2,time3,time4,place_combination1,place_combination2,place_combination3,place_dividend1,place_dividend2,place_dividend3
115,115,0,1,0,1,1200,1,60-40,625000.0,4,23.73,22.91,23.31,,23.73,46.64,69.95,,10,11,6.0,31.0,16.5,16.5
116,116,0,2,0,1,1200,1,40-10,485000.0,5,24.0,22.47,23.9,,24.0,46.47,70.37,,3,8,9.0,36.5,42.5,27.0
117,117,0,3,0,1,1200,1,60-40,625000.0,4,24.53,22.47,23.43,,24.53,47.0,70.43,,4,2,6.0,18.0,20.5,13.0
118,118,0,4,0,1,1200,1,80-60,850000.0,3,23.5,21.89,22.86,,23.5,45.39,68.25,,9,2,3.0,12.5,34.5,201.0
119,119,0,5,0,1,1650,1,40-10,485000.0,5,28.78,23.62,24.95,23.96,28.78,52.4,77.35,101.31,1,8,5.0,32.5,28.5,39.5
120,120,0,6,0,1,1650,1,60-40,625000.0,4,28.61,23.78,24.61,23.78,28.61,52.39,77.0,100.78,5,1,4.0,82.0,38.5,19.0
121,121,0,7,0,1,1650,1,100-80,1150000.0,2,28.34,23.67,24.14,23.56,28.34,52.01,76.15,99.71,13,4,3.0,26.5,39.5,28.0
122,122,0,8,0,1,1650,1,80-60,850000.0,3,28.09,23.02,24.12,24.24,28.09,51.11,75.23,99.47,12,5,10.0,27.5,39.5,44.5
123,123,0,1,4,0,1400,1,40-10,,5,13.81,21.88,23.36,24.34,13.81,35.69,59.05,83.39,1,5,11.0,13.0,42.5,18.0
124,124,0,2,4,0,1200,1,60-40,,4,23.95,22.58,23.71,,23.95,46.53,70.24,,4,3,5.0,33.0,51.5,22.5
125,125,0,3,4,0,1800,1,40-0,,5,13.92,22.45,24.81,25.3,13.92,36.37,61.18,86.48,11,1,9.0,119.5,19.0,65.5
126,126,0,4,4,0,1400,1,60-40,,4,13.73,22.08,23.78,23.54,13.73,35.81,59.59,83.13,1,6,3.0,18.5,17.5,65.0
127,127,0,5,4,0,1800,1,60-40,,4,13.97,22.31,24.48,25.27,13.97,36.28,60.76,86.03,10,14,1.0,16.5,26.5,37.0
128,128,0,6,4,0,1600,1,60-40,,4,24.38,22.84,24.34,24.24,24.38,47.22,71.56,95.8,9,6,1.0,17.0,13.5,39.5
129,129,0,7,4,0,1000,1,80-60,,3,13.24,21.12,22.56,,13.24,34.36,56.92,,10,7,13.0,16.0,40.5,13.5
130,130,0,8,4,0,1400,1,80-60,,3,13.75,21.33,24.3,23.17,13.75,35.08,59.38,82.55,12,11,6.0,32.0,20.5,11.0
131,131,0,9,4,0,1600,1,100-80,,2,24.78,23.52,24.38,22.76,24.78,48.3,72.68,95.44,4,10,8.0,15.5,17.0,103.5
132,132,0,10,4,0,1600,1,80-60,,3,24.7,23.3,23.72,23.78,24.7,48.0,71.72,95.5,9,1,12.0,231.0,35.5,32.0
133,133,1,1,4,0,1200,1,40-0,,5,24.32,23.52,24.0,,24.32,47.84,71.84,,10,3,8.0,16.5,31.5,16.0
134,134,1,2,4,0,1650,1,60-40,,4,27.61,24.28,25.18,24.47,27.61,51.89,77.07,101.54,1,3,9.0,22.5,20.5,56.5
135,135,1,3,4,0,1200,1,60-40,,4,24.37,23.02,23.43,,24.37,47.39,70.82,,9,3,11.0,22.0,21.5,13.0
136,136,1,4,4,0,2200,1,80-60,,3,14.09,23.11,25.27,26.16,14.09,37.2,62.47,88.63,6,1,12.0,32.0,33.5,49.0
137,137,1,5,4,0,1650,1,80-60,,3,28.64,25.05,24.91,23.59,28.64,53.69,78.6,102.19,2,6,3.0,33.0,20.5,15.5
138,138,1,6,4,0,1200,1,80-60,,3,24.25,22.91,23.39,,24.25,47.16,70.55,,12,7,1.0,12.0,48.0,21.5
139,139,1,7,4,0,1200,1,100-80,,2,23.95,23.25,23.25,,23.95,47.2,70.45,,4,3,8.0,13.0,23.5,62.0
140,140,1,8,4,0,1800,1,105-80,,1,13.94,22.97,25.08,24.84,13.94,36.91,61.99,86.83,1,2,8.0,21.0,19.5,18.0
141,141,0,1,5,0,1400,1,40-0,,5,13.7,21.38,24.44,24.36,13.7,35.08,59.52,83.88,7,4,14.0,37.5,29.0,28.5
142,142,0,2,5,0,1000,1,60-40,,4,13.41,21.52,23.44,,13.41,34.93,58.37,,5,3,8.0,25.0,21.5,130.5
143,143,0,3,5,0,1400,1,60-40,,4,13.59,21.72,24.03,23.57,13.59,35.31,59.34,82.91,2,5,1.0,11.5,32.5,23.5
144,144,0,4,5,0,1600,1,40-10,,5,24.61,23.19,24.08,24.49,24.61,47.8,71.88,96.37,3,11,9.0,40.0,17.0,16.5
145,145,0,5,0,1,1650,1,60-40,,4,27.97,24.0,23.64,24.65,27.97,51.97,75.61,100.26,7,4,2.0,24.5,27.0,63.0
146,146,0,6,5,0,1400,1,60-40,,4,13.59,22.03,24.08,23.18,13.59,35.62,59.7,82.88,8,9,4.0,14.0,42.5,42.0
147,147,0,7,0,1,1200,1,85-60,,3,22.78,21.89,23.95,,22.78,44.67,68.62,,1,2,12.0,11.0,31.5,221.5
148,148,0,8,5,0,1400,1,80-60,,3,13.53,21.91,23.67,23.79,13.53,35.44,59.11,82.9,2,14,9.0,26.5,38.0,29.0
149,149,0,9,0,1,1650,1,80-60,,3,28.34,23.03,23.55,24.29,28.34,51.37,74.92,99.21,4,8,7.0,34.0,16.0,41.0
150,150,0,10,5,0,1400,1,110-90,,1,13.56,21.34,23.56,23.72,13.56,34.9,58.46,82.18,9,1,8.0,130.0,41.0,16.5
151,151,0,1,0,0,1200,1,G,,0,24.05,23.98,22.55,,24.05,48.03,70.58,,3,4,6.0,10.5,13.0,22.0
152,152,0,2,0,0,1200,1,60-40,,4,23.64,23.59,22.92,,23.64,47.23,70.15,,4,12,8.0,12.0,77.0,64.5
153,153,0,3,0,0,1200,1,80-60,,3,23.94,22.67,23.17,,23.94,46.61,69.78,,10,7,6.0,74.0,17.0,13.0
154,154,0,4,0,0,1600,1,60-40,,4,25.08,23.47,24.45,23.58,25.08,48.55,73.0,96.58,11,10,14.0,41.0,14.5,136.5
155,155,0,5,0,0,2000,1,60-40,,4,26.34,24.55,25.2,24.19,26.34,50.89,76.09,100.28,10,12,4.0,16.5,16.5,22.5
156,156,0,6,0,0,1800,1,80-60,,3,13.86,22.84,24.28,24.98,13.86,36.7,60.98,85.96,14,6,1.0,24.0,21.5,25.5
157,157,0,7,0,0,1400,1,95-75,,2,13.56,22.14,23.83,22.76,13.56,35.7,59.53,82.29,3,6,2.0,13.0,81.0,14.0
158,158,0,8,0,0,2000,1,G,,12,27.0,24.8,24.05,23.81,27.0,51.8,75.85,99.66,1,7,6.0,10.1,26.0,14.5
159,159,0,9,0,0,1600,1,105-80,,1,24.59,23.02,23.62,22.93,24.59,47.61,71.23,94.16,12,3,14.0,23.5,17.0,80.0
160,160,0,10,0,0,1400,1,80-60,,3,13.67,22.28,24.38,22.64,13.67,35.95,60.33,82.97,1,9,14.0,12.5,25.5,309.0
161,161,0,11,0,0,1200,1,100-80,,2,23.52,22.25,23.35,,23.52,45.77,69.12,,10,2,8.0,12.5,27.0,251.5
162,162,1,1,0,0,1000,1,40-10,,5,12.8,21.84,24.0,,12.8,34.64,58.64,,7,8,3.0,17.0,30.0,26.5
163,163,1,2,0,0,1200,1,60-40,,4,23.88,23.66,23.52,,23.88,47.54,71.06,,12,9,4.0,93.5,13.5,68.5
164,164,1,3,0,0,1200,1,60-40,,4,23.84,24.39,23.61,,23.84,48.23,71.84,,7,1,8.0,30.5,15.5,54.5
165,165,1,4,0,0,1800,1,40-10,,5,13.77,22.33,24.78,26.06,13.77,36.1,60.88,86.94,5,4,2.0,66.5,43.0,31.5
166,166,1,5,0,0,1650,1,60-40,,4,28.53,25.34,24.53,23.9,28.53,53.87,78.4,102.3,2,8,11.0,17.0,12.0,63.0
167,167,1,6,0,0,1650,1,85-60,,3,27.91,24.8,24.88,23.68,27.91,52.71,77.59,101.27,5,8,4.0,13.0,23.5,26.0
168,168,1,7,0,0,1000,1,85-60,,3,12.41,21.53,23.59,,12.41,33.94,57.53,,4,5,11.0,15.0,47.5,26.5
169,169,1,8,0,0,1650,1,80-60,,3,28.06,24.62,25.36,24.08,28.06,52.68,78.04,102.12,12,1,4.0,19.0,29.5,29.5
170,170,0,1,2,0,1200,1,40-15,,5,23.89,22.81,23.71,,23.89,46.7,70.41,,6,10,14.0,63.5,34.5,33.5
171,171,0,2,0,1,1650,1,40-0,,5,28.38,23.7,25.02,23.69,28.38,52.08,77.1,100.79,1,3,13.0,39.0,21.5,58.0
172,172,0,3,2,0,1200,1,60-40,,4,24.52,23.27,22.85,,24.52,47.79,70.64,,1,5,11.0,12.5,74.5,62.5
173,173,0,4,2,0,2000,1,105-80,,1,26.25,24.8,25.77,23.94,26.25,51.05,76.82,100.76,5,3,2.0,24.5,14.0,29.0
174,174,0,5,2,0,1400,1,60-40,,4,13.5,21.62,23.14,23.85,13.5,35.12,58.26,82.11,6,1,14.0,22.5,11.5,130.5
175,175,0,6,2,0,1600,1,80-60,,3,24.34,24.02,23.86,23.16,24.34,48.36,72.22,95.38,3,13,7.0,28.5,28.5,30.0
176,176,0,7,0,1,1650,1,105-80,,1,27.92,23.58,23.94,23.4,27.92,51.5,75.44,98.84,6,9,7.0,14.0,25.5,15.5
177,177,0,8,2,0,1600,1,G,,12,25.19,22.86,22.55,22.68,25.19,48.05,70.6,93.28,3,7,1.0,15.0,22.5,11.0
178,178,0,9,2,0,1200,1,G,,12,23.16,22.33,22.71,,23.16,45.49,68.2,,4,2,6.0,25.0,15.5,16.5
179,179,0,10,2,0,1200,1,80-60,,3,24.22,22.52,22.98,,24.22,46.74,69.72,,12,2,11.0,13.0,118.5,82.5
